card
145011
0
0
0
91757
93595
0
0
0
106619
170175
0
0
0
0
0
70190
0
0
0
0
172543
0
0
0
0
0
0
0
8297
0
0
0
0
0
0
0
0
0
11889
4283
0
0
0
100036
0
0
0
0
0
0
3727
0
0
0
223000
0
263217
0
0
133948
0
7258
0
0
0
0
0
0
176996
0
0
0
4368
0
0
0
0
0
94374
12160
0
0
0
0
0
0
0
0
48796
21708
0
0
75184
0
0
42493
0
51719
0
